X,Y,ANNO,DESCRIZIO,NOTE,ID,LINK,X_COORD,Y_COORD,anno_n,icon_url
13.636444912139,45.0813608713072,"2015",Rovigno 08.03.2015 ?  by Giovanni Rosin - John,,,https://youtu.be/Lcpd6sPHrvw,,,"2015",./0.png
13.5962535557273,45.2243932013893,"2015",? Parenzo 08.03.2015 ?  by Giovanni Rosin - John,,,https://youtu.be/eQg4_7Zf7nc,,,"2015",./0.png
12.2910453267317,45.8830363400131,"2015",Presepio dei Frati 2014-2015 - Conegliano - by Giovanni Rosin - John,,,https://youtu.be/TpXMtefmyng,,,"2015",./0.png
12.4186312736503,45.9086461490707,"2015",Presepio di Bibano - by Giovanni Rosin - John,,,https://youtu.be/ARgZkCd_B-0,,,"2015",./0.png
11.8580885247137,45.5879994005841,"2015",Villa del Conte - Brusemo a Vecia 2015 - by Giovanni Rosin - John,,,https://youtu.be/9HX7E_wwH60,,,"2015",./0.png
11.8579399751809,45.5876958456446,"2015",Presepio di Villa del Conte 2014 - by Giovanni Rosin - John,,,https://youtu.be/pOL4ZB_jrXE,,,"2015",./0.png
11.9455960834581,45.4733303337113,"2014",Presepio Vivente di Codiverno 2014 - Sfilata figuranti - by Giovanni Rosin- John,,,https://youtu.be/2Z_kYXt5Twk,,,"2014",./0.png
11.9468557834959,45.4734303359113,"2014",Presepio Vivente di Codiverno 2014 - by Giovanni Rosin - John,,,https://youtu.be/_DLw4q_G_78,,,"2014",./0.png
12.28660639091,45.8503528044601,"2015",Presepe e chiesa di Santa Lucia di Piave - by Giovanni Rosin - John,,,https://youtu.be/i9Hr2K4fmUg,,,"2015",./0.png
12.6290418421367,45.5033701754652,"2014",Aurora Wind Band - Jesolo 28.12.2014 - by Giovanni Rosin - John,,,https://youtu.be/9oSg2cMG-s8,,,"2014",./0.png
12.658466533586,45.5126271877058,"2015",Jesolo 2015 - pan e vin Sabbiadoro - by Giovanni Rosin - John,,,https://youtu.be/Tp2dCyzPVNw,,,"2015",./0.png
12.1965012546792,45.8214433302184,"2014",Presepio di Nervesa della Battaglia 2014 - by Giovanni Rosin - John,,,https://youtu.be/L1zKl8YbRcI,,,"2014",./0.png
12.0943600814436,45.7768098508191,"2014",Presepio di Venegazzù 2014 - by Giovanni Rosin - John,,,https://youtu.be/6L4LoEcsHug,,,"2014",./0.png
12.6823369580404,45.7932176927691,"2014",Presepe Vivente 2014 Annone Veneto - by Giovanni Rosin - John,,,https://youtu.be/aX8nM4EiuOs,,,"2014",./0.png
12.6586423072816,45.5124758670197,"2015",?? el pan e vin a Jesolo ??   by Giovanni Rosin - John,,,https://youtu.be/AIVwDwwSrGA,,,"2015",./0.png
12.6314250618886,45.5007866791942,"2014",Raduno Arma Aeronautica - Jesolo 2014,,,https://www.youtube.com/playlist?list=PLaALU19-ihKSDMsyOF-e6FX3lcup4Tkqu,,,"2014",./0.png
12.6382999342692,45.5368812423849,"2014",Raduno Arma Aeronautica - Jesolo 2014,,,https://www.youtube.com/playlist?list=PLaALU19-ihKSDMsyOF-e6FX3lcup4Tkqu,,,"2014",./0.png
7.67942969940581,45.08533676738,"2021",Torino e le Langhe,,,https://www.youtube.com/playlist?list=PLaALU19-ihKTjRAZ3CqHP8cOCZj0Mvy2e,,,,./0.png
12.8810441943235,45.84497282862,"2022",Castello e Borgo di Cordovado,,,https://youtu.be/k2postwGwJ4,,,,./0.png
12.3314656840974,45.4361001928894,"2022","Canal Grande al tramonto, Venezia 2 ottobre 2022",,,https://youtu.be/plqNLuakFbk,,,,./0.png
12.3563545551962,45.4533516205438,"2022",Escursione sull'Isola di Murano,,,https://youtu.be/5eqk1A9h4j8,,,,./0.png
12.3526336561072,45.4549634091171,"2022",Chiesa di San Pietro Martire,,,https://youtu.be/-oMEY--ZLog,,,,./0.png
12.3543033452694,45.4324889362059,"2022",Chiesa di San Francesco di Paola,,,https://youtu.be/iclkXCUI2iA,,,,./0.png
12.3595026373006,45.4346770003052,"2022",Basilica di San Pietro di Castello,https://youtu.be/Eec-E80bUH8,,,,,"2022",./0.png
12.2508399523508,45.66692159384,"2022","Paris Bordon, pittore divino",,,https://youtu.be/aANRy8hn1bk,,,"2022",./0.png
11.9858116269557,43.2743899936663,"2022",CORTONA,,,https://youtu.be/0UagO7EWNf8,,,"2022",./0.png
11.9919845471039,43.2766184137804,"2022",Santuario di Santa Margherita,,,https://youtu.be/XYTA3EZ3nbQ,,,"2022",./0.png
12.1357835792907,43.1843767252969,"2022",Tramonto sul Trasimeno,,,https://youtu.be/FBeZU6TkHuk,,,"2022",./0.png
12.6089893496069,42.9350635707065,"2022",Bevagna,,,https://youtu.be/aeufoaVZyMMNULL,,,"2022",./0.png
12.6723646631324,42.9893973939505,"2022",SPELLO,,,https://youtu.be/ItyZPcYmRJg,,,"2022",./0.png
12.389439156363,43.1076862966119,"2022",Perugia al tramonto,,,https://youtu.be/ezwuuftGyek,,,"2022",./0.png
12.6371104303715,43.7239673047808,"2022",URBINO,,,https://youtu.be/koqkqiiMgP0,,,"2022",./0.png
12.1528362711671,42.898577796453,"2022",La Scarzuola,Convento medievale,,https://youtu.be/bO5RO547XQk,,,"2022",./0.png
12.3495895276877,45.4323193473556,"2022",Amerigo Vespucci,,,https://youtu.be/uhX_05sJYpc,,,"2022",./0.png
12.5855494003497,45.4794146183108,"2022",Porto di Piave Vecchia,Volo con drone,,https://youtu.be/_bEne9IEdWc,,,"2022",./0.png
13.9407454303037,40.7419912514217,"2011",ISCHIA,,,https://youtu.be/tpXT8R_r2-Q,,,"2011",./0.png
14.4810817072552,40.6987413833806,"2011",Castellammare di Stabia 2011,,,https://youtu.be/tB0zrHhJLX8,,,"2011",./0.png
14.2725055942684,40.8414838131099,"2011",NAPOLI,,,https://youtu.be/U1y6yj4h5zg,,,"2011",./0.png
14.3270844966002,41.0716354369057,"2011",REGGIA DI CASERTA,,,https://youtu.be/6GZA7e7nwqo,,,"2011",./0.png
14.6029111451698,40.6331502516395,"2011",AMALFI,,,https://youtu.be/nUWAUazIJ6w,,,"2011",./0.png
14.6057232532372,40.6329940982533,"2011",https://youtu.be/nUWAUazIJ6w,,,https://youtu.be/oE3f66YoHn0,,,"2011",./0.png
7.66928147145418,45.068039475184,"2010",Ostensione sacra Sindone  - Pellegrinaggio,,,https://youtu.be/ExrNfF0Kor8,,,"2010",./0.png
13.4222201384338,45.703913778372,"2022",Santuario di Barbana - 10 maggio 2022,,,https://youtu.be/CK91lqXioW4,,,"2022",./0.png
13.2020955206613,45.7348423437765,"2022",Una giornata nella Laguna di Marano e Grado,,,https://youtu.be/MbQFXZSq-CE,,,"2022",./0.png
13.3886548851253,45.6739146244924,"2022",Grado e Aquileia - 10 maggio 2022,,,https://youtu.be/NtC31rLayY4,,,"2022",./0.png
10.7246797542283,45.3535209209453,"2022",Borghetto - Valeggio sul Mincio,,,https://youtu.be/BbZCe4r6mGU,,,"2022",./0.png
10.7335447534414,45.3577502142424,"2022",Parco Sigurtà - 20 aprile 2022,,,https://youtu.be/oBEBOzfrDLc,,,"2022",./0.png
13.7685638262291,45.6509537202715,"2022","Trieste, una giornata in città",,,https://youtu.be/rDKXh_HUiE0,,,"2022",./0.png
13.7682380332212,45.6505761528215,"2022","Trieste, Giornata dell’Unità Nazionale",,,https://youtu.be/QgQY10BuUAU,,,"2022",./0.png
13.5903486208148,45.5135627826009,"2022",Portorose - 10 marzo 2022,,,https://youtu.be/thoqIqWFAbc,,,"2022",./0.png
13.5684026036654,45.5268264372834,"2022",Pirano - 10 marzo 2022,,,https://youtu.be/txtjEZIpUjU,,,"2022",./0.png
13.7327437423574,45.5472204121095,"2022",Capodistria - 10 marzo 2022,,,https://youtu.be/dzEPMJsTu8Q,,,"2022",./0.png
12.8354037018144,45.7757382449753,"2022",Portogruaro,,,https://youtu.be/efJf344CGnQ,,,"2022",./0.png
12.8394329789889,45.7740774388627,"2022",Chiesa di San Giovanni Evangelista,,,https://youtu.be/znKOUGNXu50,,,"2022",./0.png
12.838039249362,45.7761460809371,"2022",Duomo di Sant'Andrea apostolo,,,https://youtu.be/M3SSLp7A568,,,"2022",./0.png
12.3221296112367,45.4336045530419,"2022",Chiesa di Santa Maria dei Carmini,,,https://youtu.be/D5nxYR8w9Mw,,,"2022",./0.png
12.3203633362333,45.4319818132643,"2022",Chiesa di San Sebastiano,,,https://youtu.be/eZXngR58SKM,,,"2022",./0.png
12.2507503994617,45.6642575551627,"2022",Pomeriggio a Treviso - 30 gennaio 2022,,,https://youtu.be/3cq0ep2Pt9k,,,"2022",./0.png
12.2458976643847,45.6664334794304,"2022",Chiese di S. Vito e S. Lucia,,,https://youtu.be/6R-Id6lK1bI,,,"2022",./0.png
12.2473542384384,45.668618270852,"2022",Chiesa e Presepe San Francesco,,,https://youtu.be/_59XU-YIosI,,,"2022",./0.png
12.3366509688379,45.4402756421255,"2022",Pomeriggio a Venezia,,,https://youtu.be/r2IN3Tys7GM,,,"2022",./0.png
12.3267134113532,45.4368129727505,"2022",Presepio dei Frari 2021-2022,,,https://youtu.be/EzLS_GEWDYw,,,"2022",./0.png
12.3386576670993,45.4357824981033,"2022",Chiesa di San Zulian,,,https://youtu.be/AtAX9JyxDM4,,,"2022",./0.png
13.1567773727617,46.1213948507652,"2009",NParte finale della rappresentazione sacra Brazzacco 2009ULL,,,https://youtu.be/tVJcT71yMso,,,"2009",./0.png
13.1570384710077,46.1212796842667,"2009",Brazzacco 2009 intera rappresentazione sacra,,,https://youtu.be/Om6ynt7LnYA,,,"2009",./0.png
12.3474143484258,45.4383998411258,"2022",Chiesa di San Francesco della Vigna,,,https://youtu.be/l10UbRQemYU,,,"2022",./0.png
12.3487762131403,45.4356808276823,"2022",Inconsueto itinerario,,,https://youtu.be/3HTZyBYtoM4,,,"2022",./0.png
12.3460791869403,45.4360993061225,"2022",Scuola  Dalmata dei SS. Giorgio e Trifone,,,https://youtu.be/N7A4Dnn2JiM,,,"2022",./0.png
12.7258287836038,45.5295087724353,"2022",Foce del Fiume Piave in volo col drone,,,https://youtu.be/iC2B96U0RnU,,,"2022",./0.png
13.011170595202,45.9474120460874,"2009","Presepi a Villa Manin 2009, Passiriano",,,https://youtu.be/rJ0ROoBreKM,,,"2009",./0.png
12.2939841528703,45.882624056574,"2009","Presepio dei Frati, 2009, Conegliano",,,https://youtu.be/Z2YtjF6f628,,,"2009",./0.png
12.2721943174294,45.8663625564981,"2009","Presepio di Parè di Conegliano, 2009",,,https://youtu.be/4tifhAm4WT8,,,"2009",./0.png
12.4265745894324,45.9087911104808,"2009","NULLPresepio di Bibano, gennaio 2009
",,,https://youtu.be/q-MNk00x8b0,,,"2009",./0.png
11.8804223332998,45.401656064529,"2010","Presepio di Sant'Antonio, 2009",,,Nhttps://youtu.be/wKUy3kgUpIcULL,,,"2010",./0.png
12.12918072018,45.6409806187513,"2009",Il Presepe Vivente in riva al fiume Sile - Santa Cristina,,,https://youtu.be/8DIvA_DmlzA,,,"2009",./0.png
12.325124569187,45.4426862891738,"2021",GESU’: LA VITA. DIORAMI DAL VANGELO,,,https://youtu.be/Ljn-NjgYKAINULL,,,"2021",./0.png
12.6272771764746,45.5154224006401,"2021",Tramonto dal bordo della Valle col drone,,,https://youtu.be/ODm6_0QYTKU,,,"2021",./0.png
12.3606454278609,45.4123030469468,"2021",San Lazzaro degli Armeni,,,https://youtu.be/dZwtsVEerIo,,,"2021",./0.png
11.4686952481679,45.2313934253387,"2021",Montagnana,,,https://youtu.be/Z_sMUG52KYs,,,"2021",./0.png
11.7856447826486,45.5439812419633,"2021",Villa Contarini - Piazzola sul Brenta,,,https://youtu.be/oa4JsgWoOn0,,,"2021",./0.png
12.338730977354,45.4433716951156,"2021",Chiesa di Santa Maria Assunta,,,https://youtu.be/9UhQb5grb0E,,,"2021",./0.png
12.3427678937356,45.4388094514354,"2021",Santa Maria dei Derelitti,,,https://youtu.be/cPnnHnBgkrc,,,"2021",./0.png
12.341002355345,45.4372044933328,"2021",Chiesa di Santa Maria Formosa,,,https://youtu.be/d0fnr2bot9o,,,"2021",./0.png
12.343248694032,45.4347779504132,"2021",Chiesa di San Zaccaria,,,https://youtu.be/eCFqQSm3Yrg,,,"2021",./0.png
12.3539707256831,45.4243629034672,"2021",Vele Colorate in Laguna,,,https://youtu.be/5Mbml90gemk,,,"2021",./0.png
12.3560201628635,45.4249023001217,"2021",Tramonto in laguna in una serata d'autunno,,,https://youtu.be/FSzNaNJo9fI,,,"2021",./0.png
12.8787013629497,45.5989025590831,"2021",Caorle,,,https://youtu.be/9E3qQg56Tco,,,"2021",./0.png
13.3238053028511,45.8611320249466,"2021",Autunno a Strassoldo,,,https://youtu.be/h8YVx7Lr3Dc,,,"2021",./0.png
7.62166155453189,45.1363703949629,"2021",Reggia di Venaria Reale,,,https://youtu.be/y-j9O5ClqRY,,,"2021",./0.png
7.34322511679113,45.097465469167,"2021",Sacra di San Michele,,,https://youtu.be/bYKrR4LUgjQ,,,"2021",./0.png
8.11526254624838,44.726526275339,"2021",Neive,,,https://youtu.be/ybIBY6hhTSE,,,"2021",./0.png
8.0841923466512,44.7219555909342,"2021",Barbaresco,,,https://youtu.be/p36PucJmwzg,,,"2021",./0.png
8.0370897415624,44.6997064382229,"2021",Città di Alba,,,https://youtu.be/WTnoXqUvkxY,,,"2021",./0.png
7.94178954637121,44.6103124911148,"2021",Barolo,,,https://youtu.be/4QgNIyOYvbA,,,"2021",./0.png
7.76713031281188,45.0805513951553,"2021",Basilica e Parco di Superga,,,https://youtu.be/ND_TK6rfS6A,,,"2021",./0.png
7.6743303333997,45.0775842321122,"2021","Torino, pomeriggio autunnale",,,https://youtu.be/9zcLL9TVzx8,,,"2021",./0.png
12.3575219001606,45.457434462946,"2021",Basilica dei Santi Maria e Donato,,,https://youtu.be/z8rVniSjEv8,,,"2021",./0.png
12.418708749913,45.4842079748742,"2021",Duomo di San Martino,,,https://youtu.be/K_Il5sTGtKA,,,"2021",./0.png
12.7254824871692,45.5295799735043,"2021",Foce Fiume Piave - Cortellazzo,,,https://youtu.be/XTimab8eK6A,,,"2021",./0.png
12.6785441298389,45.5641008406137,"2021","Jesolo, com'è bella la mia campagna - volo col grone",,,https://youtu.be/obg5O6E78zo,,,"2021",./0.png
12.6581774086892,45.5298995900286,"2021",Fimi X8 SE 2020 - primo volo e primo video,,,https://youtu.be/v7j-JYJbesU,,,"2021",./0.png
11.8757011220929,45.4082440560126,"2015",Mostra Giovanni Fattori,,,https://youtu.be/A_c5Ar0FBZ8,,,"2015",./0.png
10.2181858162889,45.5379597183274,"2016","Brescia  2016 - Visita alla Mostra ""Lo splendore di Venezia""",,,https://youtu.be/emNKb71iMXE,,,"2016",./0.png
10.9967931558292,45.4437484420536,"2020",Una giornata serena a Verona,,,https://youtu.be/OWE77_jdjzM,,,"2020",./0.png
12.3421556105484,45.4368273516066,"2019",Domus Grimani - La collezione di sculture classiche,,,https://youtu.be/0lXzvTU_DME,,,"2019",./0.png
13.5675807074254,45.5289087728586,"2019",Pirano invernale,,,https://youtu.be/beVwkGA8QEQ,,,"2019",./0.png
12.1117251401944,42.62657321145,"2019",Civita di Bagnoregio,,,https://youtu.be/2LGmxlSQpek,,,"2019",./0.png
11.9850695930729,42.6364301567208,"2019",Bolsena-Viterbo-Caprarola,,,https://youtu.be/HnjhHkU0EtE,,,"2019",./0.png
12.1069665178258,42.4264629358055,"2019",Bolsena-Viterbo-Caprarola,,,https://youtu.be/HnjhHkU0EtE,,,"2019",./0.png
12.1102697226317,42.7184894255673,"2019",Orvieto,,,https://youtu.be/nQ2pjMAh1Q8,,,"2019",./0.png
10.5033062247966,43.842113951065,"2019",Lucca - Foto 5 Aprile 2019,,,https://youtu.be/0Dwp6kjQKA0,,,"2019",./0.png
10.3936617260001,43.722424572219,"2019",Pisa,,,https://youtu.be/qJnIJzW7NrM,,,"2019",./0.png
12.4167469017726,45.4733215717442,"2019",San Francesco del deserto,,,https://youtu.be/QGstrWseI4M,,,"2019",./0.png
11.8794354772137,45.4119162472042,"2019",Visita alla Cappella degli Scrovegni,,,https://youtu.be/wdpQE2S65V0,,,"2019",./0.png
12.3314817879956,45.8591650581414,"2018",Presepio Artistico di Ramera 2018,,,https://youtu.be/Bw5LsQPulU4,,,"2018",./0.png
12.3441596612333,45.4274287397599,"2018",Vatican Chapels alla Fondazione Cini,,,https://youtu.be/Fhds6rlJSTA,,,"2019",./0.png
13.3099341569639,45.905184040095,"2018",Palmanova,,,https://youtu.be/pIB76VVPr8M,,,"2018",./0.png
9.66315958743108,45.7032014455932,"2018",Una giornata a Bergamo,,,https://youtu.be/94paMN9-C70,,,"2018",./0.png
11.4082554439747,44.5162320564223,"2018",Eataly World FICO,,,https://youtu.be/SJ12GopnbmU,,,"2018",./0.png
12.3428342731304,45.4294691607568,"2018",Isola di San Giorgio,,,https://youtu.be/IHlOgfzH69s,,,"2018",./0.png
10.0251570685002,45.1342775639276,"2017",Cremona,,,https://youtu.be/ZgeKMdR3xmA,,,"2017",./0.png
19.0522864721828,47.4807683792496,"2017",Budapest e Lago Balaton,,,https://youtu.be/87aVNZbwNXo,,,"2017",./0.png
19.0874719904233,47.3978194012148,,Ungheria 2017,,,https://www.youtube.com/playlist?list=PLaALU19-ihKSsA4lyQsLPrdpH3fLHLfhi,,,,./0.png
12.6324350721948,45.4992752531933,"2022",Jesolo Air Show 2022,,,https://www.youtube.com/playlist?list=PLaALU19-ihKSFcm6gFNvI-svHg30_bxLUNULL,,,"2022",./0.png
-4.18085296080328,56.936994867258,"2010",Scozia 2010 Remix,,,https://youtu.be/P5HxtZVzfNQ,,,"2010",./0.png
7.60315713415637,44.994228330594,"2016","Stupinigi, 9 dicembre 2016",,,https://youtu.be/KuiVEO1_skI,,,"2016",./0.png
7.68657134795672,45.0537478845258,"2016",Parco del Valentino,,,https://youtu.be/2-GSzC-gECc,,,"2016",./0.png
7.68189828276075,45.0725619416563,"2016","Torino, bus tour",,,https://youtu.be/HbG0oqhR7DY,,,"2016",./0.png
12.2330899406532,43.46775318596,"2016",Città di Castello 28.10.2016,,,https://youtu.be/xlaz1zjzvTM,,,"2016",./0.png
12.3903853151928,43.1087471019751,"2016","Perugia, pomeriggio del 27.10.2016",,,https://youtu.be/VWL--0DuAgA,,,"2016",./0.png
12.389731086065,43.1085509341762,"2016",Perugia  - mattina 27.10.2016,,,https://youtu.be/F1awBVmjd9YL,,,"2016",./0.png
12.1377243626279,43.5758504461612,"2016",Sansepolcro 26.10.2016,,,https://youtu.be/JiSvP_diGbE,,,"2016",./0.png
13.5684066387026,45.5276807444809,"2016",Pirano 25 settembre 2016,,,https://youtu.be/YJfHOriGTzE,,,"2016",./0.png
13.7227828078482,45.3800916346575,"2016",Passeggiata a Grisignana 25.09.2016,,,https://youtu.be/--53sluTVlk,,,"2016",./0.png
12.6825102960399,45.7933029054879,"2018",Presepio vivente di Annone Veneto,,,https://youtu.be/axdMYPqmAVY,,,"2018",./0.png
9.83451463306378,44.0510296840077,"2016",Portovenere 25 aprile 2016,,,https://youtu.be/rkVAhDAn1gU,,,"2016",./0.png
9.20965596408863,44.3357593660499,"2016",Santa Margherita Ligure,,,https://youtu.be/zsL6t1zgL2Q,,,"2016",./0.png
9.23158762182682,44.3499303610966,"2016",Rapallo - Santa Margherita - Portofino,,,https://youtu.be/mLDj36zCXQ0,,,"2016",./0.png
10.1358019298464,44.0862687921264,"2016",Le cave di Carrara tra la nuvolaglia,,,https://youtu.be/RnPdFVOOfjY,,,"2016",./0.png
8.933971472239,44.4055194489453,"2016",Genova 22 aprile 2016,,,https://youtu.be/8EjbMI3GVNw,,,"3016",./0.png
8.78577866227843,44.7614190107345,"2016",Novi Ligure 22 aprile 2016,,,https://youtu.be/K4bRjSP3Da8,,,"2016",./0.png
12.5749629619535,43.3485040763605,"2016",Gubbio 22 marzo 2016,,,https://youtu.be/vlt91nN4h38,,,"2016",./0.png
12.4608614799764,41.8915163065013,"2018",Colle del Gianicolo e Presepio di Sabbia offerto dalla città di Jesolo,,,https://youtu.be/chT3j9DxidY,,,"2018",./0.png
11.9884733246528,45.8368167390198,"2017",Presepio Missionario - Santuario Madonna della Rocca - Cornuda (TV),,,https://youtu.be/0FlWceoXl-w,,,"2017",./0.png
11.7786702882634,45.3511972426139,"2022",Abano Terme - Hotel Salus - Halloween 2022,,,https://youtu.be/-x83KVCM-6s,,,"2022",./0.png
